length_ft,width_ft,length_norm,surface_code,lighted,area,size_category
70.0,70.0,0.0023333333333333335,123,0,4900.0,small
50.0,50.0,0.0016666666666666668,123,0,2500.0,small
46.0,46.0,0.0015333333333333334,115,0,2116.0,small
30.0,30.0,0.001,501,0,900.0,small
3000.0,40.0,0.1,25,0,120000.0,medium
20.0,20.0,0.0006666666666666666,501,0,400.0,small
5134.0,55.0,0.17113333333333333,16,0,282370.0,large
2000.0,75.0,0.06666666666666667,501,0,150000.0,medium
3700.0,50.0,0.12333333333333334,168,0,185000.0,medium
7745.0,55.0,0.25816666666666666,345,0,425975.0,large
50.0,50.0,0.0016666666666666668,123,1,2500.0,small
3500.0,80.0,0.11666666666666667,511,0,280000.0,large
1800.0,70.0,0.06,511,0,126000.0,medium
1300.0,40.0,0.043333333333333335,501,0,52000.0,medium
2751.0,75.0,0.0917,36,1,206325.0,large
1800.0,60.0,0.06,501,0,108000.0,medium
1800.0,100.0,0.06,501,0,180000.0,medium
4100.0,60.0,0.13666666666666666,25,0,246000.0,large
40.0,40.0,0.0013333333333333333,123,0,1600.0,small
2000.0,100.0,0.06666666666666667,513,0,200000.0,large
1600.0,50.0,0.05333333333333334,25,0,80000.0,medium
1600.0,50.0,0.05333333333333334,25,0,80000.0,medium
1600.0,50.0,0.05333333333333334,25,0,80000.0,medium
1600.0,50.0,0.05333333333333334,25,0,80000.0,medium
1600.0,50.0,0.05333333333333334,25,0,80000.0,medium
1600.0,50.0,0.05333333333333334,25,0,80000.0,medium
1250.0,100.0,0.041666666666666664,361,0,125000.0,medium
2000.0,100.0,0.06666666666666667,501,0,200000.0,large
40.0,40.0,0.0013333333333333333,123,0,1600.0,small
4000.0,200.0,0.13333333333333333,551,0,800000.0,large
78.0,78.0,0.0026,127,0,6084.0,small
3700.0,60.0,0.12333333333333334,36,1,222000.0,large
2650.0,60.0,0.08833333333333333,501,0,159000.0,medium
50.0,50.0,0.0016666666666666668,25,0,2500.0,small
2950.0,100.0,0.09833333333333333,501,0,295000.0,large
95.0,95.0,0.0031666666666666666,501,0,9025.0,small
2900.0,60.0,0.09666666666666666,501,0,174000.0,medium
1300.0,50.0,0.043333333333333335,501,0,65000.0,medium
2200.0,60.0,0.07333333333333333,25,0,132000.0,medium
2450.0,65.0,0.08166666666666667,517,0,159250.0,medium
2000.0,70.0,0.06666666666666667,513,0,140000.0,medium
3200.0,70.0,0.10666666666666667,501,0,224000.0,large
2000.0,100.0,0.06666666666666667,501,0,200000.0,large
2000.0,100.0,0.06666666666666667,501,0,200000.0,large
2300.0,50.0,0.07666666666666666,501,0,115000.0,medium
600.0,50.0,0.02,501,0,30000.0,small
1270.0,75.0,0.042333333333333334,501,0,95250.0,medium
2200.0,70.0,0.07333333333333333,501,0,154000.0,medium
120.0,120.0,0.004,25,0,14400.0,small
2300.0,100.0,0.07666666666666666,501,0,230000.0,large
100.0,40.0,0.0033333333333333335,25,0,4000.0,small
2700.0,80.0,0.09,501,0,216000.0,large
900.0,40.0,0.03,501,0,36000.0,small
40.0,40.0,0.0013333333333333333,123,1,1600.0,small
3210.0,80.0,0.107,501,0,256800.0,large
100.0,100.0,0.0033333333333333335,501,0,10000.0,small
60.0,60.0,0.002,123,1,3600.0,small
1235.0,75.0,0.041166666666666664,501,0,92625.0,medium
75.0,75.0,0.0025,29,0,5625.0,small
50.0,50.0,0.0016666666666666668,16,1,2500.0,small
2000.0,100.0,0.06666666666666667,501,0,200000.0,large
2600.0,50.0,0.08666666666666667,501,0,130000.0,medium
75.0,75.0,0.0025,501,0,5625.0,small
70.0,70.0,0.0023333333333333335,25,0,4900.0,small
120.0,120.0,0.004,25,0,14400.0,small
2219.0,100.0,0.07396666666666667,501,0,221900.0,large
2940.0,45.0,0.098,512,0,132300.0,medium
2200.0,100.0,0.07333333333333333,512,0,220000.0,large
1500.0,50.0,0.05,501,0,75000.0,medium
1700.0,90.0,0.056666666666666664,501,0,153000.0,medium
2075.0,50.0,0.06916666666666667,501,0,103750.0,medium
6160.0,52.0,0.20533333333333334,173,0,320320.0,large
2000.0,40.0,0.06666666666666667,501,0,80000.0,medium
80.0,80.0,0.0026666666666666666,123,0,6400.0,small
40.0,40.0,0.0013333333333333333,123,0,1600.0,small
1800.0,60.0,0.06,501,0,108000.0,medium
1700.0,50.0,0.056666666666666664,513,0,85000.0,medium
2600.0,100.0,0.08666666666666667,501,0,260000.0,large
3199.0,200.0,0.10663333333333333,512,1,639800.0,large
2000.0,40.0,0.06666666666666667,337,0,80000.0,medium
1600.0,75.0,0.05333333333333334,25,0,120000.0,medium
1600.0,75.0,0.05333333333333334,25,0,120000.0,medium
1600.0,75.0,0.05333333333333334,25,0,120000.0,medium
1600.0,75.0,0.05333333333333334,25,0,120000.0,medium
1600.0,75.0,0.05333333333333334,25,0,120000.0,medium
1600.0,75.0,0.05333333333333334,25,0,120000.0,medium
1600.0,75.0,0.05333333333333334,501,0,120000.0,medium
2900.0,125.0,0.09666666666666666,501,1,362500.0,large
80.0,80.0,0.0026666666666666666,123,1,6400.0,small
15000.0,4000.0,0.5,552,0,60000000.0,large
20.0,20.0,0.0006666666666666666,123,0,400.0,small
46.0,46.0,0.0015333333333333334,123,1,2116.0,small
4500.0,75.0,0.15,501,0,337500.0,large
7003.0,150.0,0.23343333333333333,25,1,1050450.0,large
3400.0,120.0,0.11333333333333333,501,0,408000.0,large
200.0,100.0,0.006666666666666667,501,0,20000.0,small
300.0,300.0,0.01,501,0,90000.0,medium
16000.0,3500.0,0.5333333333333333,551,0,56000000.0,large
1700.0,100.0,0.056666666666666664,501,0,170000.0,medium
2200.0,80.0,0.07333333333333333,338,0,176000.0,medium
2580.0,70.0,0.086,501,0,180600.0,medium
2600.0,70.0,0.08666666666666667,501,0,182000.0,medium
25.0,25.0,0.0008333333333333334,501,0,625.0,small
39.0,39.0,0.0013,123,0,1521.0,small
40.0,40.0,0.0013333333333333333,123,0,1600.0,small
15.0,15.0,0.0005,25,0,225.0,small
60.0,60.0,0.002,123,1,3600.0,small
45.0,45.0,0.0015,123,0,2025.0,small
45.0,45.0,0.0015,25,0,2025.0,small
3000.0,30.0,0.1,25,1,90000.0,medium
2200.0,60.0,0.07333333333333333,501,0,132000.0,medium
2810.0,60.0,0.09366666666666666,36,1,168600.0,medium
2600.0,90.0,0.08666666666666667,501,0,234000.0,large
2800.0,50.0,0.09333333333333334,501,0,140000.0,medium
130.0,95.0,0.004333333333333333,123,0,12350.0,small
1900.0,150.0,0.06333333333333334,501,0,285000.0,large
2000.0,75.0,0.06666666666666667,501,0,150000.0,medium
40.0,40.0,0.0013333333333333333,123,0,1600.0,small
2800.0,100.0,0.09333333333333334,501,0,280000.0,large
2256.0,45.0,0.0752,511,0,101520.0,medium
300.0,100.0,0.01,501,0,30000.0,small
1000.0,80.0,0.03333333333333333,301,0,80000.0,medium
2965.0,100.0,0.09883333333333333,512,0,296500.0,large
15.0,15.0,0.0005,123,0,225.0,small
80.0,80.0,0.0026666666666666666,25,0,6400.0,small
1900.0,15.0,0.06333333333333334,301,0,28500.0,small
3500.0,50.0,0.11666666666666667,25,0,175000.0,medium
2000.0,50.0,0.06666666666666667,511,0,100000.0,medium
3129.0,75.0,0.1043,501,0,234675.0,large
1680.0,60.0,0.056,501,0,100800.0,medium
2000.0,100.0,0.06666666666666667,512,0,200000.0,large
60.0,40.0,0.002,25,0,2400.0,small
2845.0,30.0,0.09483333333333334,36,1,85350.0,medium
1750.0,100.0,0.058333333333333334,501,0,175000.0,medium
2997.0,60.0,0.0999,36,1,179820.0,medium
6000.0,1200.0,0.2,501,0,7200000.0,large
3000.0,60.0,0.1,501,0,180000.0,medium
3186.0,100.0,0.1062,511,0,318600.0,large
2220.0,50.0,0.074,25,1,111000.0,medium
3100.0,75.0,0.10333333333333333,501,0,232500.0,large
4500.0,70.0,0.15,25,1,315000.0,large
1700.0,80.0,0.056666666666666664,501,0,136000.0,medium
1860.0,75.0,0.062,501,0,139500.0,medium
15000.0,4000.0,0.5,551,0,60000000.0,large
1600.0,60.0,0.05333333333333334,501,0,96000.0,medium
60.0,60.0,0.002,123,1,3600.0,small
1860.0,80.0,0.062,501,0,148800.0,medium
3700.0,60.0,0.12333333333333334,125,1,222000.0,large
2000.0,45.0,0.06666666666666667,501,0,90000.0,medium
2000.0,100.0,0.06666666666666667,501,0,200000.0,large
50.0,50.0,0.0016666666666666668,123,0,2500.0,small
120.0,60.0,0.004,501,0,7200.0,small
1000.0,70.0,0.03333333333333333,501,0,70000.0,medium
900.0,200.0,0.03,501,0,180000.0,medium
2904.0,100.0,0.0968,501,0,290400.0,large
2600.0,50.0,0.08666666666666667,501,0,130000.0,medium
2700.0,40.0,0.09,514,0,108000.0,medium
13500.0,300.0,0.45,127,1,4050000.0,large
2200.0,100.0,0.07333333333333333,511,0,220000.0,large
2000.0,50.0,0.06666666666666667,501,0,100000.0,medium
2500.0,200.0,0.08333333333333333,551,0,500000.0,large
2500.0,200.0,0.08333333333333333,551,0,500000.0,large
45.0,45.0,0.0015,25,0,2025.0,small
50.0,50.0,0.0016666666666666668,25,1,2500.0,small
2400.0,80.0,0.08,501,0,192000.0,medium
1200.0,100.0,0.04,501,0,120000.0,medium
2000.0,100.0,0.06666666666666667,501,0,200000.0,large
45.0,45.0,0.0015,115,1,2025.0,small
2204.0,125.0,0.07346666666666667,501,0,275500.0,large
200.0,200.0,0.006666666666666667,134,1,40000.0,small
5000.0,100.0,0.16666666666666666,25,0,500000.0,large
2500.0,75.0,0.08333333333333333,501,1,187500.0,medium
400.0,50.0,0.013333333333333334,501,0,20000.0,small
1600.0,50.0,0.05333333333333334,501,0,80000.0,medium
526.0,20.0,0.017533333333333335,501,0,10520.0,small
595.0,20.0,0.019833333333333335,501,0,11900.0,small
53.0,53.0,0.0017666666666666666,123,0,2809.0,small
2200.0,50.0,0.07333333333333333,501,0,110000.0,medium
37.0,37.0,0.0012333333333333332,115,0,1369.0,small
